# Generated with RandomMatrixGenerator.m 
#TargetConn, TargetNest, Connectance, Nestedness, VarDegree 
0.075000 0.100000 0.076100 0.095209 2.668992  
 0.075000 0.150000 0.072200 0.145316 4.630205  
 0.125000 0.150000 0.122600 0.146696 3.441164  
 0.075000 0.200000 0.078100 0.195157 5.907486  
 0.125000 0.200000 0.124200 0.195138 5.817458  
 0.175000 0.200000 0.177000 0.202104 3.974795  
 0.075000 0.250000 0.075500 0.245377 6.771022  
 0.125000 0.250000 0.125600 0.245108 7.525928  
 0.175000 0.250000 0.178800 0.245018 6.527530  
 0.225000 0.250000 0.221600 0.246058 3.907781  
 0.075000 0.300000 0.077600 0.295787 7.554319  
 0.125000 0.300000 0.127200 0.295177 8.825591  
 0.175000 0.300000 0.176800 0.295039 8.687633  
 0.225000 0.300000 0.226000 0.295036 7.100145  
 0.275000 0.300000 0.278300 0.304045 4.187934  
 0.075000 0.350000 0.074500 0.345433 8.133157  
 0.125000 0.350000 0.124600 0.345023 9.857191  
 0.175000 0.350000 0.167600 0.345002 10.431996  
 0.225000 0.350000 0.218900 0.345078 9.853087  
 0.275000 0.350000 0.281000 0.345003 7.235452  
 0.325000 0.350000 0.323300 0.349707 4.502495  
 0.075000 0.400000 0.077100 0.395412 8.836078  
 0.125000 0.400000 0.130300 0.395025 10.846072  
 0.175000 0.400000 0.172700 0.395298 11.700496  
 0.225000 0.400000 0.224900 0.395033 11.626944  
 0.275000 0.400000 0.268500 0.395081 10.725328  
 0.325000 0.400000 0.324000 0.395011 8.028842  
 0.375000 0.400000 0.370800 0.401100 4.837417  
 0.075000 0.450000 0.076300 0.445170 9.300300  
 0.125000 0.450000 0.120300 0.445162 11.379657  
 0.175000 0.450000 0.172700 0.445015 12.816725  
 0.225000 0.450000 0.224300 0.445004 13.240151  
 0.275000 0.450000 0.272600 0.445105 12.774519  
 0.325000 0.450000 0.333100 0.445132 10.731249  
 0.375000 0.450000 0.374400 0.445022 8.318799  
 0.425000 0.450000 0.428500 0.454107 4.515468  
 0.075000 0.500000 0.076500 0.495026 9.799882  
 0.125000 0.500000 0.130500 0.495037 12.417264  
 0.175000 0.500000 0.176200 0.495109 13.895359  
 0.225000 0.500000 0.225800 0.495154 14.602733  
 0.275000 0.500000 0.272800 0.495050 14.537133  
 0.325000 0.500000 0.323400 0.495029 13.710004  
 0.375000 0.500000 0.369300 0.495034 11.885344  
 0.425000 0.500000 0.419500 0.495015 8.827635  
 0.075000 0.550000 0.076300 0.545325 10.258621  
 0.125000 0.550000 0.130600 0.545419 13.115505  
 0.175000 0.550000 0.175900 0.545006 14.747861  
 0.225000 0.550000 0.225600 0.545031 15.840169  
 0.275000 0.550000 0.274700 0.545045 16.092356  
 0.325000 0.550000 0.327900 0.545026 15.592999  
 0.375000 0.550000 0.377600 0.545037 14.290679  
 0.425000 0.550000 0.419800 0.545041 12.373159  
 0.075000 0.600000 0.079600 0.595052 10.883965  
 0.125000 0.600000 0.126800 0.595136 13.556789  
 0.175000 0.600000 0.175800 0.595075 15.551296  
 0.225000 0.600000 0.224000 0.595033 16.879115  
 0.275000 0.600000 0.271800 0.595072 17.423994  
 0.325000 0.600000 0.322900 0.595284 17.413848  
 0.375000 0.600000 0.366700 0.595074 16.780915  
 0.425000 0.600000 0.425800 0.595019 14.962049  
 
