# Generated with RandomMatrixGenerator.m 
#TargetConn, TargetNest, Connectance, Nestedness, VarDegree
0.075000 0.100000 0.083200 0.104167 1.175255
 0.075000 0.150000 0.083200 0.152672 1.588736
 0.125000 0.150000 0.128000 0.154391 1.414214
 0.075000 0.200000 0.084800 0.197889 1.891334
 0.125000 0.200000 0.131200 0.197531 1.829910
 0.175000 0.200000 0.168000 0.202270 1.628822
 0.075000 0.250000 0.084800 0.252632 2.066645
 0.125000 0.250000 0.131200 0.245528 2.194985
 0.175000 0.250000 0.184000 0.245902 1.979487
 0.225000 0.250000 0.233600 0.252632 1.503194
 0.075000 0.300000 0.084800 0.298592 2.387382
 0.125000 0.300000 0.129600 0.301587 2.653915
 0.175000 0.300000 0.182400 0.296646 2.483907
 0.225000 0.300000 0.227200 0.297440 2.207963
 0.275000 0.300000 0.281600 0.302762 1.484065
 0.075000 0.350000 0.083200 0.349845 3.049523
 0.125000 0.350000 0.126400 0.351852 2.873951
 0.175000 0.350000 0.171200 0.347716 2.927979
 0.225000 0.350000 0.220800 0.347044 2.779223
 0.275000 0.350000 0.272000 0.346769 2.432769
 0.325000 0.350000 0.321600 0.354089 1.840142
 0.075000 0.400000 0.075200 0.398714 2.932158
 0.125000 0.400000 0.128000 0.401152 3.063944
 0.175000 0.400000 0.176000 0.396597 3.270149
 0.225000 0.400000 0.217600 0.396504 3.182606
 0.275000 0.400000 0.272000 0.397260 2.989779
 0.325000 0.400000 0.331200 0.396236 2.373665
 0.375000 0.400000 0.371200 0.404945 1.796141
 0.075000 0.450000 0.080000 0.452229 3.155817
 0.125000 0.450000 0.129600 0.446281 3.223384
 0.175000 0.450000 0.174400 0.447471 3.421183
 0.225000 0.450000 0.233600 0.449683 3.559179
 0.275000 0.450000 0.267200 0.446518 3.490161
 0.325000 0.450000 0.316800 0.445459 3.199745
 0.375000 0.450000 0.384000 0.452353 2.571429
 0.425000 0.450000 0.424000 0.454738 1.678191
 0.075000 0.500000 0.081600 0.496875 3.162020
 0.125000 0.500000 0.128000 0.495536 3.499271
 0.175000 0.500000 0.177600 0.500000 3.742530
 0.225000 0.500000 0.220800 0.497984 3.913556
 0.275000 0.500000 0.273600 0.495374 3.861690
 0.325000 0.500000 0.320000 0.498845 3.763411
 0.375000 0.500000 0.382400 0.496306 3.163310
 0.425000 0.500000 0.416000 0.504988 2.871393
 0.075000 0.550000 0.084800 0.546296 3.274141
 0.125000 0.550000 0.123200 0.551807 3.864226
 0.175000 0.550000 0.168000 0.545746 3.854496
 0.225000 0.550000 0.216000 0.545946 4.100771
 0.275000 0.550000 0.278400 0.550117 4.304530
 0.325000 0.550000 0.334400 0.547425 4.104552
 0.375000 0.550000 0.382400 0.547794 3.818109
 0.425000 0.550000 0.417600 0.546572 3.470929
 0.075000 0.600000 0.081600 0.601266 3.499038
 0.125000 0.600000 0.134400 0.598234 4.014057
 0.175000 0.600000 0.171200 0.597064 4.145516
 0.225000 0.600000 0.230400 0.600207 4.415002
 0.275000 0.600000 0.276800 0.595880 4.610724
 0.325000 0.600000 0.316800 0.599869 4.623984
 0.375000 0.600000 0.371200 0.595086 4.375442
 0.425000 0.600000 0.417600 0.596491 4.121422
