# File created on Thu Apr 23 09:41:33 2020

# alpha modes for optimized matrix;

50 25 0.15 0.0848 0.0047747595553507

50 25 0.15 0.12 0.00656257265787764

50 25 0.1 0.0832 0.0033081106567383

50 25 0.25 0.1224 0.00310494005922871

50 25 0.25 0.1656 0.00655927565592452

50 25 0.25 0.2224 0.0278244759814544

50 25 0.2 0.1192 0.00307404025011449

50 25 0.2 0.168 0.0134280180980994

50 25 0.35 0.1808 0.00988125366212176

50 25 0.35 0.2296 0.00994409497089307

50 25 0.35 0.2792 0.0204621355175717

50 25 0.35 0.332 0.0356220030389811

50 25 0.3 0.1792 0.00989673027894438

50 25 0.3 0.2296 0.0136964711624284

50 25 0.3 0.2792 0.031949701792821

50 25 0.45 0.1704 0.00647965713541671

50 25 0.45 0.2296 0.00309408658854169

50 25 0.45 0.2768 0.0101157020857996

50 25 0.45 0.3328 0.0243707587923991

50 25 0.45 0.3824 0.0424687934526615

50 25 0.45 0.4336 0.0750552948083995

50 25 0.4 0.176 0.00311635669309703

50 25 0.4 0.22 0.00653284514322921

50 25 0.4 0.2752 0.0136593413425934

50 25 0.4 0.32 0.0204807286804348

50 25 0.4 0.3848 0.0460243944486932

50 25 0.55 0.2176 0.003143871611016

50 25 0.55 0.2776 0.0131018316891491

50 25 0.55 0.332 0.0172116730993863

50 25 0.55 0.368 0.017231085907056

50 25 0.55 0.4344 0.0497657408219403

50 25 0.5 0.224 0.0064612853397375

50 25 0.5 0.2736 0.0100909007835772

50 25 0.5 0.3288 0.0244114764559015

50 25 0.5 0.3672 0.0135437416105391

50 25 0.5 0.4272 0.0497986068912762

50 25 0.6 0.2344 0.00314132419842765

50 25 0.6 0.268 0.00984863925342263

50 25 0.6 0.3344 0.0137193165853886

50 25 0.6 0.3832 0.0101726454932985

50 25 0.6 0.4272 0.0355809640959681

