# File created on Wed Apr 22 12:29:28 2020

# alpha modes for optimized matrix;

50 25 0.15 0.0848 0.00320221082899308

50 25 0.15 0.12 0.00773465026001683

50 25 0.1 0.0832 0.00356296158854169

50 25 0.25 0.1224 0.0034013279215495

50 25 0.25 0.1656 0.00834306945354467

50 25 0.25 0.2224 0.0342747122142087

50 25 0.2 0.1192 0.00372883363381412

50 25 0.2 0.168 0.0169759295090179

50 25 0.35 0.1808 0.0121981593771363

50 25 0.35 0.2296 0.0119636212331363

50 25 0.35 0.2792 0.0266379074527224

50 25 0.35 0.332 0.0487460297067574

50 25 0.3 0.1792 0.0126107040809311

50 25 0.3 0.2296 0.0174770137701103

50 25 0.3 0.2792 0.0453731620273999

50 25 0.45 0.1704 0.00694095672717452

50 25 0.45 0.2296 0.00369361165364586

50 25 0.45 0.2768 0.0154719828264859

50 25 0.45 0.3328 0.032445473763343

50 25 0.45 0.3824 0.0684696955866004

50 25 0.45 0.4336 0.0896021863639326

50 25 0.4 0.176 0.00330004939424821

50 25 0.4 0.22 0.00802856729224193

50 25 0.4 0.2752 0.0184741106647449

50 25 0.4 0.32 0.029889557212801

50 25 0.4 0.3848 0.0642882893658343

50 25 0.55 0.2176 0.00402937431690708

50 25 0.55 0.2776 0.0192119417785263

50 25 0.55 0.332 0.0243807587923991

50 25 0.55 0.368 0.0271662936605474

50 25 0.55 0.4344 0.0807899119634443

50 25 0.5 0.224 0.00897280093585379

50 25 0.5 0.2736 0.0130017685181049

50 25 0.5 0.3288 0.0349989286927251

50 25 0.5 0.3672 0.0229198467277039

50 25 0.5 0.4272 0.0860172335400126

50 25 0.6 0.2344 0.00418304121376814

50 25 0.6 0.268 0.0127899476068302

50 25 0.6 0.3344 0.0205944687959756

50 25 0.6 0.3832 0.0203717940461234

50 25 0.6 0.4272 0.0603374718561139

