# File created on Wed Apr  8 12:08:38 2020

# alpha modes forfully connected;no intraspecific syntrophy;optimized matrix;random structure;

50 25 0.15 0.0848 0.00309873893229169 0.00314609687701798 0.00481172519188599 0.0174278138558452

50 25 0.15 0.12 0.00657927565592452 0.00679878518229171 0.00647464351114913 0.0317810618562681

50 25 0.1 0.0832 0.00309182458433656 0.0031583314732143 0.00332085256177328 0.0194949311114851

50 25 0.25 0.1224 0.00307404025011449 0.00313496489295666 0.00307716177481194 0.0144886899818655

50 25 0.25 0.1656 0.00649954814127608 0.00683523942456935 0.00665911216471358 0.025827413286251

50 25 0.25 0.2224 0.0275877881548107 0.0332711794707888 0.0278312881033928 0.0743271769563011

50 25 0.2 0.1192 0.00312585649539265 0.00316759014282798 0.00309100047632436 0.0153460551369403

50 25 0.2 0.168 0.0134249867767967 0.0147309050969474 0.0133800025055487 0.0497582547594708

50 25 0.35 0.1808 0.00978631590756451 0.0105260669257935 0.00992507213461137 0.0310958920343219

50 25 0.35 0.2296 0.00985922406080342 0.010615260532549 0.00993331771246899 0.0306601054736875

50 25 0.35 0.2792 0.0206475792593591 0.0233639145819414 0.0206098215428855 0.048287924463908

50 25 0.35 0.332 0.0349262617309621 0.043733880465367 0.0352791284321042 0.078537890909831

50 25 0.3 0.1792 0.0099147942995526 0.0106228040717895 0.0100342164970782 0.0346257779954369

50 25 0.3 0.2296 0.0134070583782254 0.0147955344326799 0.0137415999746931 0.042690578249318

50 25 0.3 0.2792 0.0317602899765359 0.0385981096876355 0.0320208060903572 0.0760633268734288

50 25 0.45 0.1704 0.00646640440790816 0.00672892142496749 0.00658935740152999 0.0220827265793537

50 25 0.45 0.2296 0.00314931978597452 0.00319461316230972 0.00310040125739647 0.0094964180594788

50 25 0.45 0.2768 0.00997815758660091 0.0109086252616187 0.0100236291178008 0.0280391671396314

50 25 0.45 0.3328 0.0244768352876527 0.0284114452373346 0.0243787970400259 0.0542092456461592

50 25 0.45 0.3824 0.0425663830466299 0.0558410077743186 0.0425294318520529 0.0790835892036636

50 25 0.45 0.4336 0.0671630972590012 0.108233067846928 0.0751028726026645 0.112178812613861

50 25 0.4 0.176 0.00315156522559112 0.00321033626818785 0.00309804124263297 0.0125617912881594

50 25 0.4 0.22 0.00638488874796553 0.00681827727809249 0.00660916666178389 0.0197000266224714

50 25 0.4 0.2752 0.0135409139262025 0.0147184204527614 0.0136921984936059 0.0371935176736268

50 25 0.4 0.32 0.0207919144710009 0.0237026941959761 0.0208629187376454 0.0480139209741794

50 25 0.4 0.3848 0.0456344659335844 0.0626159823161485 0.0464929016669405 0.0903030750200324

50 25 0.55 0.2176 0.00310928605988162 0.00318442431242155 0.00310182118168586 0.0106113271656888

50 25 0.55 0.2776 0.0135508447301143 0.0144746491312643 0.0135979706878944 0.0319354312567174

50 25 0.55 0.332 0.017191872127801 0.0191091343092615 0.0172521715411557 0.039859833940202

50 25 0.55 0.368 0.0174039351854529 0.019137193613903 0.017215183346866 0.0370044649529168

50 25 0.55 0.4344 0.0493652132473065 0.06902005557181 0.0494918166160069 0.0881468078987488

50 25 0.5 0.224 0.00649935740152999 0.00682248043977218 0.00657785038060901 0.0191941239724845

50 25 0.5 0.2736 0.010070396254 0.0107891234326787 0.0101526454932985 0.0243203028433546

50 25 0.5 0.3288 0.0244805482222517 0.0282968342845318 0.0242246822971455 0.0554482179951889

50 25 0.5 0.3672 0.0135939116952232 0.0147990859648426 0.0136688468489679 0.0283418018426766

50 25 0.5 0.4272 0.0495557791371821 0.0691644958982142 0.0497922632836101 0.0882748221642913

50 25 0.6 0.2344 0.00313795207543339 0.00318638965010686 0.00312905087010392 0.0101780615227311

50 25 0.6 0.268 0.00979384730933381 0.010544154749297 0.00995834380234726 0.0266228649245356

50 25 0.6 0.3344 0.0136383359511021 0.0148050806412147 0.0133712631497511 0.0313547720039103

50 25 0.6 0.3832 0.0101871122561972 0.0108408124052872 0.00985922406080342 0.0205953523874185

50 25 0.6 0.4272 0.0355228170483561 0.0437804613755957 0.0350112992832027 0.0640516505540191

