# File created on Wed Apr 22 12:28:19 2020

# alpha modes for optimized matrix;

50 25 0.15 0.0848 0.026039865514262

50 25 0.15 0.12 0.0491384689434452

50 25 0.1 0.0832 0.0222952434860947

50 25 0.25 0.1224 0.0224188104183256

50 25 0.25 0.1656 0.0350589678586513

50 25 0.25 0.2224 0.0965959053110761

50 25 0.2 0.1192 0.0193773570168565

50 25 0.2 0.168 0.0611286255482238

50 25 0.35 0.1808 0.0459732523981449

50 25 0.35 0.2296 0.0340568272817564

50 25 0.35 0.2792 0.0743404638233441

50 25 0.35 0.332 0.0981387137073338

50 25 0.3 0.1792 0.0414827183193279

50 25 0.3 0.2296 0.0420636116762463

50 25 0.3 0.2792 0.114631174607479

50 25 0.45 0.1704 0.0249079382334226

50 25 0.45 0.2296 0.00978193392836871

50 25 0.45 0.2768 0.0315348678400508

50 25 0.45 0.3328 0.0908720791710421

50 25 0.45 0.3824 0.11799540423949

50 25 0.45 0.4336 0.133840241414156

50 25 0.4 0.176 0.0221282181506204

50 25 0.4 0.22 0.027587780530295

50 25 0.4 0.2752 0.0398836869605061

50 25 0.4 0.32 0.0642005464287274

50 25 0.4 0.3848 0.110472495124929

50 25 0.55 0.2176 0.0172806575090548

50 25 0.55 0.2776 0.0393262647694062

50 25 0.55 0.332 0.0558975893681718

50 25 0.55 0.368 0.0426952256404013

50 25 0.55 0.4344 0.0889817095676679

50 25 0.5 0.224 0.0249188081199409

50 25 0.5 0.2736 0.0278349508923927

50 25 0.5 0.3288 0.0981316817881269

50 25 0.5 0.3672 0.0425416001379864

50 25 0.5 0.4272 0.090702605541119

50 25 0.6 0.2344 0.015562056924307

50 25 0.6 0.268 0.0399795926243592

50 25 0.6 0.3344 0.0336702103917706

50 25 0.6 0.3832 0.0194407829674156

50 25 0.6 0.4272 0.0773609064261884

